ID,Event,Country,Latitude,Longitude,USGS Event ID,Year,Month,Day,Time of Day (Universal Time Code),Mw,Earthquake Information Source,Fault Type,Depth (km),Ms,Ms Source,Other Magnitude,Other Magnitude Type,Other Magnitude Source,USGS ShakeMap Availability,Inventory,Inventory Source,Total Fatalities,Total Fatalities Source,Total Injuries,Total Injuries Source,Landslide Fatalities,Landslide Fatalities Source,Missing People (Landslide),Missing People Source,Area Affected (km^2),Area Affected Source,Number of Landslides (Primary),Number of Landslides (Primary) Source,Number of Landslides (Secondary),Number of Landslides (Secondary) Source,Number of Landslides (Additional Values and Sources),mLS (Primary),Rodriguez #LS,Keefer # LS,Area of Landslides (km^2),Area of Landslides Source,Volume of Landslides (km^3),Volume of Landslides Source,Max Epicentral Distance (km),Max Distance from Fault-Rupture Zone to Landslides (km),Max Epicentral Distance and Distance from Fault-Rupture Zone Source,Notes
153,"Nisqually, Washington, USA",United States of America,47.15,-122.73,uw10530748,2001,2,28,18:54:32,6.8,PAGER-CAT,Normal,51.8,,,,,,Y,N,,1,"History Link, 2001",200,"History Link, 2001",0,"History Link, 2001",,,,,,,,,,,,,,,,,,,,
154,Peru,Peru,-16.27,-73.46,official20010623203314130_33,2001,6,23,20:33:14,8.4,PAGER-CAT,Thrust/Reverse,33,8.2,PAGER-CAT,6.7,mb,PAGER-CAT,Y,N,,145,EMDAT,2713,EMDAT,,,,,,,,,,,,,,,,,,,,,,
155,"San Miguel/ San Tecla, El Salvador",El Salvador,13.049 ,-88.660 ,usp000a7m5,2001,1,13,17:33:32,7.7,PAGER-CAT,Normal,60,7.8,PAGER-CAT,,,,Y,Y,"Garcia-Rodriguez and Malpica, 2010",844,EMDAT,5565,GEM,600,GEM,92,GEM,10370,"Bommer, 2002",139,"Tanyas et al., 2017",,,,2.1430148,,,,,,,160,,"Bommer & Rodr?iguez, 2002, Jibson & Crone, 2001, Rodriguez, 2001, Garcia-Rodriguez & Malpica, 2010 ",
156,"Denali, Alaska, USA",United States of America,63.517 ,-147.444 ,usp000bg0m,2002,11,3,22:12:41,7.8,PAGER-CAT,Strike-slip,7.9,8.5,PAGER-CAT,,,,Y,Y,"Gorum et al., 2014",0,PAGER-CAT,1,PAGER-CAT,0,PAGER-CAT,,,6732,"Gorum et al., 2014",1579,"Gorum et al., 2014",,,,3.19838213,,,121.2,"Gorum et al., 2014",,,325,22,"Gorum et al., 2014, Jibson et al., 2004 ",
157,"South Tyrrhenian Sea, Sicily, Italy",Italy,38.45 ,13.70 ,,2002,9,6,1:21:28,5.9,PAGER-CAT,Thrust/Reverse,5,5.5,PAGER-CAT,,,,Y,N,,2,EMDAT,,,0,"CNN, 2002",,,-,,,,,,,,,,,,,,,,"Agnesi et al., 2005 ",
158,Papua New Guinea,Papua New Guinea,-6.23,151.435 ,usp000b1gt,2002,4,1,6:14:15,5.3,PAGER-CAT,Thrust/Reverse,80.5,,,,,,Y,N,,36,PAGER-CAT, ,,36,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
159,Afghanistan,Afghanistan,36.502 ,70.482 ,usp000azhc,2002,3,3,12:08:19,7.4,PAGER-CAT,Thrust/Reverse,225.6,,PAGER-CAT,,,,"Part of sequence; foreshock [M6.3, 12 s earlier] has shakemap",N,,166,PAGER-CAT, ,,150,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
160,"Avaj, Iran",Iran,35.626 ,49.047 ,usp000b6pk,2002,6,22,2:58:21,6.5,PAGER-CAT,Thrust/Reverse,10,6.4,PAGER-CAT,,,,Y,Y,"Mahdavifar et al., 2006",227,EMDAT,1500,PAGER-CAT,,,,,250,"Mahdavifar et al., 2006",50,"Tanyas et al., 2017",,,,1.698970004,,,,,,,,,"Mahdavifar et al., 2006 ",
161,"Ionian Islands, Greece",Greece,39.160 ,20.605 ,usp000c4tt,2003,8,14,5:14:54,6.3,PAGER-CAT,Strike-slip,10,6.2,PAGER-CAT,,,,Y,Y,"Papathanassiou et al., 2013",0,UTSU,,,0,UTSU,,,156,"Papathanassiou et al., 2013",274,"Papathanassiou et al., 2013",,,,2.437750563,,,2.9,"Papathanassiou et al., 2013",,,25,14,"Papathanassiou et al., 2013 ",
162,"Fiordland, New Zealand",New Zealand,-45.1,167.144 ,usp000c5h6,2003,8,21,12:12:49,7.2,PAGER-CAT,Thrust/Reverse,28,7.5,PAGER-CAT,,,,Y,N,,0,UTSU,0,UTSU,0,UTSU,,,-,,459,"Hancox et al., 2003",,,,2.661812686,,,,,,,-,-,"Reyners et al., 2003 ",
163,Indonesia,Indonesia,-8.294 ,120.743 ,usp000btf5,2003,3,25,2:53:25,6.4,PAGER-CAT,Strike-slip,33,6.1,PAGER-CAT,,,,Y,N,,4,PAGER-CAT,20,PAGER-CAT,4,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
164,"Tecoman, Mexico",Mexico,18.770 ,-104.1,usp000bnyr,2003,1,22,2:06:34,7.6,PAGER-CAT,Thrust/Reverse,24,7.6,PAGER-CAT,,,,Y,N,,29,PAGER-CAT,300,PAGER-CAT,,,,,-,,,,,,,,,,,,,,,,"Keefer et al., 2006 ",
165,"Hokkaido, Japan",Japan,41.82,143.91,usp000c8kv,2003,9,25,19:50:06,8.2,PAGER-CAT,Thrust/Reverse,27,,,,,,Y,N,,0,"Geotimes, 2003",479,"CBS News, 2003",,,,,,,,,,,,,,,,,,,,,,
166,Slovenia,Slovenia,46.296 ,13.641 ,usp000d00p,2004,7,12,13:04:07,5.2,PAGER-CAT,Thrust/Reverse,7.7,4.9,PAGER-CAT,,,,Y,N,,1,PAGER-CAT,5,PAGER-CAT,1,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
167,"Rotoehu, New Zealand",New Zealand,-38.010 ,176.490 ,,2004,7,18,3:58:06,5.1,"Honcox et al., 2002",Normal,5,,PAGER-CAT,,,,Part of sequence; foreshock has shakemap,N,,1,UTSU,2,UTSU,1,NZ Historical Weather Events Catalog,,,,,51,"Hancox et al., 2004",,,,1.707570176,,,,,,,-,-,"Hancox et al., 2004 ",
168,Taiwan; Province of China,Taiwan,24.1 ,121.95 ,usp000ctwv,2004,5,1,7:56:13,5.2,PAGER-CAT,Thrust/Reverse,44.6,5.1,PAGER-CAT,,,,Y,N,,2,PAGER-CAT,1,PAGER-CAT,2,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
169,Pakistan,Pakistan,34.678 ,73.295 ,usp000cm59,2004,2,14,10:30:22,5.5,PAGER-CAT,Thrust/Reverse,11,5.2,PAGER-CAT,,,,Y,N,,24,PAGER-CAT,40,PAGER-CAT,14,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
170,"Chuetsu (Niigata), Japan",Japan,37.226 ,138.779 ,usp000d6vk,2004,10,23,8:56:00,6.6,PAGER-CAT,Thrust/Reverse,16,6.3,PAGER-CAT,6.8,,GEM,Y,Y,"GSI of Japan, 2005, Sekiguchi and Sato, 2006, Yagi et al., 2007",68,PAGER-CAT,4805,PAGER-CAT,6,PAGER-CAT,0,PAGER-CAT,660,"Geographical Survey Institute of Japan, 2005; Chigira & Yagi, 2006; Sassa, 2005; H. P. Sato et al., 2005; Sekiguchi & Sato, 2006; H. B. Wang et al., 2007; Yagi et al., 2007; Yamagishi & Iwahashi, 2007  ",10516,"GSI of Japan, 2005",,,,4.021850577, , ,10.7,"GSI of Japan, 2005",,,30,22,"Geographical Survey Institute of Japan, 2005, Chigira & Yagi, 2006, Sassa, 2005, Sato et al., 2005, Sekiguchi & Sato, 2006, Wang et al., 2007, Yagi et al., 2007, Yamagishi & Iwahashi, 2007  ",
171,Chile,Chile,-19.99,-69.197 ,usp000dsw1,2005,6,13,22:44:33,7.8,PAGER-CAT,Normal,115.6,,PAGER-CAT,,,,Y,N,,11,EMDAT,200,PAGER-CAT,6,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
172,"Kashmir, Pakistan",Pakistan,34.539 ,73.588 ,usp000e12e,2005,10,8,3:50:40,7.6,PAGER-CAT,Thrust/Reverse,26,7.7,PAGER-CAT,,,,Y,Y,"Sato et al., 2007, Basharat et al., 2014, Basharat et al., 2016",73338,EMDAT,134589,GEM,26500,GEM, ,,1220," Basharat et al., 2014; Kamp et al., 2008; Owen et al., 2008; H. P. Sato et al., 2007  [Kamp et al. 2008]",2930,"Basharat et al., 2016",,,,3.46686762, , ,109.4,"Basharat et al., 2016",,,40,29,"Basharat et al., 2014, Kamp et al., 2008, Owen et al., 2008, Sato et al., 2007 ",
173,"Kiholo Bay, Hawaii, USA",United States of America,19.878 ,-155.935 ,usp000ev94,2006,10,15,17:07:49,6.7,PAGER-CAT,Normal,38.9,6.6,PAGER-CAT,,,,Y,Y,"Harp et al., 2014",0,PAGER-CAT,0,PAGER-CAT,0,,,,500,"Harp et al., 2004",383,"Harp et al., 2014",,,,2.583198774,,,2.8,"Harp et al., 2014",,,45,,"Harp et al., 2014 ",
174,"Sikkim, India",India,27.38,88.39,usp000ea1q,2006,2,14,0:55:25,5.3,PAGER-CAT,Thrust/Reverse,30,4.8,PAGER-CAT,,,,Y,N,,2,PAGER-CAT,2,PAGER-CAT,2,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
175,China,China,27.99,104.14,usp000ep9q,2006,7,22,1:10:29,4.9,PAGER-CAT,Thrust/Reverse,55.6,4.6,PAGER-CAT,,,,Y,N,,22,PAGER-CAT,106,PAGER-CAT,22,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
176,"Niigata-Chuetsu-oki, Japan",Japan,37.58 ,138.38 ,usp000fg9t,2007,7,16,1:13:22,6.6,PAGER-CAT,Thrust/Reverse,12,6.4,PAGER-CAT,,,,Y,Y,"Kokusai, 2007, Collins et al., 2012",9,EMDAT,1100,PAGER-CAT,,,,,381,"Kokusai Kogyo, 2007; Sato, 2007; Collins et al., 2002",312,"Kokusai Kogyo, 2007",,,,2.494154594,,,0.4,"Kokusai Kogyo, 2007",,,30,20,"Kokusai Kogyo, 2007, Sato, 2007, Collins et al., 2012 ",
177,"Aysen Fjord, Chile",Chile,-45.24,-72.648 ,usp000fa97,2007,4,21,17:53:46,6.2,PAGER-CAT,Strike-slip,36.7,6.3,PAGER-CAT,,,,Y,Y,"Sepulveda et al., 2010, Gorum et al., 2014",10,,,,,,,,1077,"Gorum et al., 2014",517,"Gorum et al., 2014",540,"Sepulveda et al., 2010",,2.713490543, , ,17.3,"Sepulveda et al., 2010",,,45,42,"Gorum et al, 2014, Sepulveda et al., 2010 ",
178,Tajikistan,Tajikistan,37.26 ,68.83 ,usp000fgtx,2007,7,21,22:44:13,5.2,PAGER-CAT,Thrust/Reverse,10,5,PAGER-CAT,,,,Y,N,,12,PAGER-CAT, ,,9,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
179,"Gizo, Solomon Islands",Solomon Islands,-8.47,157.043 ,usp000f83m,2007,4,1,20:39:58,8.1,PAGER-CAT,Thrust/Reverse,24,7.9,PAGER-CAT,,,,Y,N,,52,EMDAT, ,,2,PAGER-CAT, ,,,,,,,,,,,,,,,,,,,
180,"Pisco, Peru",Peru,-13.386 ,-76.603 ,usp000fjta,2007,8,15,23:40:57,8,PAGER-CAT,Thrust/Reverse,39,7.9,PAGER-CAT,,,,Y,Y,"Lacroix et al., 2013",593,EMDAT,1366,PAGER-CAT,,,,,21000,"Lacroix et al., 2013",271,"Lacroix et al., 2013",,,,2.432969291,,,1.07,"Lacroix et al., 2013",,,200,230,"Lacroix et al., 2013",
181,Algeria,Algeria,35.883 ,-0.658 ,usp000g8r4,2008,6,6,20:02:56,5.5,ComCat,Thrust/Reverse,4,5.3,ComCat,,,,Y,N,,1,ComCat,30,ComCat,1,ComCat, ,,,,,,,,,,,,,,,,,,,
182,Japan,Japan,35.953 ,140.455 ,usp000gd3b,2008,7,24,0:39:23,4.5,ComCat,Thrust/Reverse,56.6,,,,,,N,N,,1,EMDAT,,,,,,,,,,,,,,,,,,,,,,,,
183,Greece,Greece,37.963 ,21.525 ,usp000fw2w,2008,6,8,12:25:29,6.4,ComCat,Strike-slip,16,6.3,ComCat,,,,Y,N,,2,EMDAT,240,ComCat,0,"BBC, 2008",,,,,,,,,,,,,,,,,,,,
184,Colombia,Columbia,4.330 ,-73.764 ,usp000g7p6,2008,5,24,19:20:42,5.9,ComCat,Strike-slip,8.9,5.6,ComCat,,,,Y,N,,11,ComCat,4181,,6,ComCat, ,,,,,,,,,,,,,,,,,,,
185,"Iwate-Miyagi-Nairuku, Japan",Japan,39.03,140.881,usp000g9h6,2008,6,13,23:43:45,6.9,ComCat,Thrust/Reverse,7.8,7,ComCat,6.5,mb,,Y,Y,"Yagi et al., 2009",23,EMDAT,357,ComCat,11,"FDMA-Japan, 2008",,,575,"Yang et al., 2009",4161,"Xu, 2014",4211,"Yagi et al., 2009",,3.619197716,,,10.2,"Xu, 2014; 12.5 per Yagi et al., 2009",,,25,,"Yagi et al., 2009",
186,Pakistan,Pakistan,30.639 ,67.351 ,usp000gm8g,2008,10,28,23:09:57,6.4,ComCat,Strike-Slip,15,6.6,ComCat,,,,Y,N,,166,EMDAT,200,ComCat,,,,,,,,,,,,,,,,,,,,,,
187,"Wenchuan, China",China,31.002 ,103.322 ,usp000g650,2008,5,12,6:28:01,7.9,ComCat,Thrust/Reverse,7.6,8.1,ComCat,,,,Y,Y,"Qi et al., 2010, Dai et al., 2011, Gorum et al., 2011, Xu et al., 2014b, Li et al., 2014, Tang et al., 2016",88287,ComCat,374177,ComCat,20000,"Yin et al., 2009; GEM estimated 6074 as calculated in Yin et al. (2009), but this number is likely low", ,,80000," Xu et al., 2014c; Li et al., 2014; Dai et al., 2011; Gorum et al., 2011; Huang & Li, 2009; Parker et al., 2011; Qi et al., 2010; Tang et al., in progress ",6727,"Tang et al., 2016",197481,"Xu et al., 2014b","69605 (Li et al., 2014), 60109 (Gorum et al., 2011), 59108 (Dai et al., 2011), 13114 (Qi et al., 2010)",3.827821428, , ,1159.9,"Xu et al., 2014b, Tanyas et al., 2017",6.123,"Xu, 2014",375,165,"Xu et al., 2014c, Li et al., 2014, Dai et al., 2011, Gorum et al., 2011, Huang & Li, 2009, Parker et al., 2011, Qi et al., 2010, Tang et al., in progress ",
188,"Cinchona, Costa Rica",Costa Rica,10.165 ,-84.2,usp000gscg,2009,1,8,19:21:35,6.1,ComCat,Strike-Slip,14,6,ComCat,,,,Y,Y,"Ruiz et al., 2011",31,EMDAT,91,ComCat,30,"Montero, 1999, Climent et al., 2009, Montero et al., 2010",64,"CNN, 2009",519,"Ruiz et al., 2011",4781,"Ruiz et al., 2011",,,,3.679518744,,,,,,,,,,
189,Indonesia,Indonesia,-7.782 ,107.297 ,usp000h152,2009,9,2,7:55:01,7,ComCat,Thrust/Reverse,46,7,ComCat,,,,Y,N,,128,EMDAT,,,,,,,,,,,,,,,,,,,,,,,,
190,Abruzzo (Central Italy),Italy,42.334 ,13.334 ,usp000gvtu,2009,4,6,1:32:39,6.3,ComCat,Normal,8.8,6.2,ComCat,,,,Y,Y,"Guzzetti et al., 2009, Piacentini et al., 2013",309,ComCat,1500,ComCat,,,,,2000,"Guzetti et al., 2009",570,"Tanyas et al., 2017",,,,2.755874856,,,,,,,60,48,"Guzetti et al., 2009 ",
191,"Padang (Sumatra), Indonesia",Indonesia,-0.072 ,99.867 ,usp000h237,2009,9,30,10:16:09,7.4,ComCat,Thrust/Reverse,81,,,,,,Y,Y,"Umar et al., 2014",1117,GEM,2902,GEM,200,GEM,400,GEM,6,"Umar et al., 2014",87,"Tanyas et al., 2017",,,,1.939519253,,,,,,,40,16,"Umar et al., 2014, Faris and Wang, 2014",
192,"Sierra Cucapah, Mexico",Mexico,32.286 ,-115.295 ,ci14607652,2010,4,4,22:40:42,7.2,ComCat,Strike-slip,10,,,6.9,ml,ComCat,Y,Y,"Barlow et al., 2014",2,EMDAT,233,ComCat,0,CNN,,,516,"Barlow et al., 2004",453,"Barlow et al., 2015",,,,2.656098202,,,0.7,"Barlow et al., 2015",,,55,14," Barlow et al., 2014 ",
193,Afghanistan,Afghanistan,35.71 ,67.68 ,usp000hbmk,2010,4,18,20:28:50,5.6,ComCat,Thrust/Reverse,13,5.4,ComCat,,,,Y,N,,11,EMDAT,70,ComCat,,,,,,,,,,,,,,,,,,,,,,
194,Indonesia,Indonesia,-2.17,136.543 ,usp000he3f,2010,6,16,3:16:27,7,ComCat,Strike-slip,18,7.1,ComCat,,,,Y,N,,17,EMDAT,,,,,,,,,,,,,,,,,,,,,,,,
195,"Maule (Bio-Bio), Chile",Chile,-36.12,-72.898 ,official20100227063411530_30,2010,2,27,6:34:11,8.8,ComCat,Thrust/Reverse,22.9,8.5,ComCat,,,,Y,N,,562,EMDAT,12000,GEM,4,GEM, ,,120500,"Serey et al., 2019",1226,"Serey et al., 2019",,,,3.08849047,,,3000,"Serey et al., 2019",,,,,,
196,China,China,33.271 ,96.629 ,,2010,4,14,23:49:38,6.9,ComCat,Strike-slip,17,7,ComCat,,,,Y,N,,2698,"Xinhua News Agency, 2010",12135,"Xinhua News Agency, 2010",,,,,,,,,,,,,,,,,,,,,,
197,"Yushu, China",China,33.165 ,96.548 ,usp000hbbt,2010,4,13,23:49:38,6.9,ComCat,Strike-slip,17,7,ComCat,,,,Y,Y,"Xu et al., 2013",2968,EMDAT,12135,ComCat,,,,,1370,"Xu et al., 2012",2036,"Xu et al., 2013",,,,3.308777774, , ,1.2,"Xu et al., 2013",,,60,10," Xu et al., 2012, Xu et al., 2013, Yin et al., 2010, Zhang et al., 2010  ",
198,"Port-au-Prince, Haiti",Haiti,18.443 ,-72.57,usp000h60h,2010,1,12,21:53:10,7,ComCat,Strike-slip,13,7.3,ComCat,,,,Y,Y,"Gorum et al., 2013, Harp et al., 2016, Xu et al., 2014",222570,EMDAT,300000,GEM,,,,,2758,Gorum et al. 2013,23567,"Harp et al., 2016",,,,4.372304302, , ,24.9,"Harp et al., 2016",0.0297,"Xu, 2014",55,47,"Gorum et al., 2013, Harp et al., 2011, Xu et al., 2014a ",
199,"Darfield, New Zealand",New Zealand,-43.52,171.83,usp000hk46,2010,9,3,16:35:47,7.2,ComCat,Strike-slip,12,7.3,ComCat,6.4,mb,ComCat,Y,Y,"Cantebury Geotechnical Database, Massey et al., 2014",0,ComCat,2,ComCat,0,ComCat,,,,,,,,,,,,,,,,,,,,
200,"Mineral, Virginia, USA",United States of America,37.910 ,-77.936 ,se609212,2011,8,23,17:51:04,5.8,ComCat,Thrust/Reverse,6,,,,,,Y,N,,0,ComCat,0,ComCat,0,,,,-,,,,,,,,,,,,,,,,"Jibson & Harp, 2012 ",
201,"Xinjiang, China",China,43.072 ,88.362 ,,2011,6,8,2:00:23,4.3,ComCat,Thrust/Reverse,36,,ComCat,4.6,mb,ComCat,N,N,,0,UTSU,8,UTSU,0,UTSU,,,,,,,,,,,,,,,,,,,,
202,"Upala, Costa Rica",Costa Rica,10.79,-85.11,,2011,7,,,5.5,"Ruiz et al., 2019",,10,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,"Lorca, Spain",Spain,37.699 ,-1.672 ,usp000j1en,2011,5,11,16:47:25,5.1,ComCat,Strike-slip,1,,,,,,Y,Y,"Alfaro et al., 2012",10,EMDAT,403,ComCat,,,,,97,"Alfaro et al., 2012",250,"Xu, 2014",270,"Alfaro et al., 2012",,2.397940009, , ,,,,,25,11,"Alfaro et al., 2012   ",
204,"Sikkim, India",India,27.730 ,88.155 ,usp000j88b,2011,9,18,12:40:51,6.9,ComCat,Strike-slip,50,6.7,ComCat,,,,Y,Y,"Chakraborty et al., 2011",112,EMDAT,,,,,,,6,"Chakraborty et al., 2011; Martha et al., 2014; Singh and Singh, 2016",164,"Chakraborty et al., 2011",,,,2.214843848,,,,,,,-,-,"Chakraborty et al., 2011, Martha et al., 2014, Singh and Singh, 2016   ",
205,"Christchurch, New Zealand",New Zealand,-43.58,172.7012 ,usp000huvq,2011,2,22,23:51:42,6.1,ComCat,Strike-slip,5.9,6.3,ComCat,,,,Y,N,,181,EMDAT,7133,GEM,5,GEM, ,,,,,,,,,,,,,,,,,,,
206,"Tohoku (E.Honshu), Japan",Japan,38.297 ,142.373 ,official20110311054624120_30,2011,3,11,5:46:24,9.1,ComCat,Thrust/Reverse,29,8.3,ComCat,,,,Y,Y,"Wartman et al., 2013",19846,EMDAT,6194,GEM,19,GEM,0,GEM,28380,"Wartman et al., 2013",3475,"Wartman et al., 2013",,,,3.540954809,,,1.6,"Wartman et al., 2013",,,,,"Wartman et al., 2013",
207,"Hejing and Xinyuan, China",China,43.433 ,84.700 ,,2012,6,29,21:07:33,6.3,ComCat,Strike-slip,18,6.4,ComCat,,,,Y,N,,0,"Fox News, 2012",0,"Fox News, 2012",0,"Fox News, 2012",,,-,,,,,,,,,,,,,,-,-,"Li et al., 2012 ",
208,Myanmar,Myanmar,23.005 ,95.885 ,usp000jvbq,2012,11,11,1:12:38,6.8,ComCat,Strike-slip,13.7,6.7,ComCat,,,,N,N,,38,EMDAT,,,0,"The Guardian, 2012",12,"Bangkok Post, 2012",,,,,,,,,,,,,,,,,,
209,"Hindu Kush Region, Afghanistan",Afghanistan,36.02,69.35,usb000acmf,2012,6,11,5:29:11,5.7,ComCat,Thrust/Reverse,15,5.6,ComCat,,,,Y,N,,73,EMDAT,13,ComCat,73,"BBC, 2012",,,,,,,,,,,,,,,,,,,,
210,Philippines,Philippines,9.999 ,123.206 ,usp000jejw,2012,2,6,3:49:12,6.7,ComCat,Thrust/Reverse,11,6.6,ComCat,,,,Y,N,,113,EMDAT,112,ComCat,,,62,"Gulf News, 2012",,,,,,,,,,,,,,,,,USGS,
211,"Samara, Costa Rica",Costa Rica,9.69,-85.62,usp000jrsw,2012,9,,,7.6,"Ruiz et al., 2019",,15.4,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,"Cook Straight, New Zealand",New Zealand,-41.7,174.34,usb000iivv,2013,7,21,5:09:31,6.5,ComCat,Strike-slip,17,6.7,ComCat,,,,Y,Y,"Van Dissen et al., 2013",0,EMDAT,4,"Geonet, 2013",0,,,,491,"Van Dissen et al., 2013",35,"Van Dissen et al., 2013",,,,1.544068044,,,,,,,40,24,"Van Dissen et al., 2013",
213,"Lake Grassmere, New Zealand",New Zealand,-41.734 ,174.152 ,usb000j4iz,2013,8,16,2:31:05,6.5,ComCat,Strike-slip,8.2,,,,,,Y,Y,"Van Dissen et al., 2013",0,"Geonet, 2013",4,"Geonet, 2013",0,,,,766,"Van Dissen et al., 2013",501,"Van Dissen et al., 2013",,,,2.699837726,,,,,,,25,25,"Van Dissen et al., 2013",
214,"Benzilan, China",China,28.243 ,99.35,usb000je5n,2013,8,31,0:04:17,5.6,ComCat,Normal,8,,,,,,Y,N,,3,EMDAT,6,Fox News,1,"Fox News, 2013",,,,,,,,,,,,,,,,,,,,
215,Indonesia,Indonesia,4.645 ,96.665 ,usb000i4re,2013,7,2,7:37:02,6.1,ComCat,Strike-slip,13,6.2,ComCat,,,,Y,N,,48,EMDAT,276,ComCat,12,"The Telegraph, 2013",8,,,,,,,,,,,,,,,,,,,
216,"Chabu, China",China,34.53,104.176 ,usb000ijfc,2013,7,22,1:12:34,5.4,ComCat,Thrust/Reverse,10.2,5.1,ComCat,,,,Y,N,,95,EMDAT,2395,ComCat,13,"Earthquake-report, 2013",,,,,,,,,,,,,,,,,,,,
217,"Lushan, China",China,30.308 ,102.888 ,usb000gcdd,2013,4,20,0:02:47,6.6,ComCat,Thrust/Reverse,14,6.8,ComCat,,,,Y,Y,"Li et al., 2013, Xu et al., 2015",198,EMDAT,>10000,Han 2014,,,,,4970,"Xu et al., 2015; Li et al., 2013; Niu, 2014; Xu & Xu, 2014; Xu et al., 2013; Ming et al., 2016",15546,"Xu et al., 2015",,,,4.191618663, , ,18.5,"Xu et al., 2015",0.04,"Xu, 2014",59,55,"Xu et al., 2015, Li et al., 2013, Niu, 2014, Xu & Xu, 2014, Xu et al., 2013, Ming et al., 2016",
218,"Minxian?Zhangxian , China",China,34.512 ,104.262 ,usb000ije3,2013,7,21,23:45:56,5.9,ComCat,Thrust/Reverse,8,6.2,ComCat,,,,N,Y,"Xu et al., 2014a",,,,,,,,,196,"Xu et al., 2014",2330,"Xu et al., 2014a",,,,3.367355921,,,0.8,"Xu et al., 2014a",,,20,15," Xu et al., 2014b   ",
219,"Eketahuna, New Zealand",New Zealand,-40.62,175.86 ,usb000m4i4,2014,1,20,2:52:44,6.1,ComCat,Normal,28,6.2,ComCat,,,,Y,Y,"Rosser et al., 2014",0,"Geonet, 2014",3,"Geonet, 2014",0,"Geonet, 2014",,,11914,"Rosser et al., 2014",176,"Rosser et al., 2014",,,,2.245512668,,,,,,,120,113,"Rosser et al., 2014",
220,"Marahare, Comoros",Comoros,-12.228 ,44.300 ,usc000n9m9,2014,3,12,20:43:32,4.7,Earthquake-Report,Normal,10,,,4.8,mb,ComCat,Y,N,,0,EMDAT,,,0,,,,,,,,,,,,,,,,,,,,,
221,"Iquique, Chile",Chile,-19.61,-70.77,usc000nzvd,2014,4,1,23:46:47,8.2,ComCat,Thrust/Reverse,25,8,ComCat,7.1,mb,ComCat,Y,N,,6,EMDAT,9,"Earthquake-report, 2014",3,"Earthquake-report, 2014",,,,,,,,,,,,,,,,,,,,
222,"Napa Valley, California, USA",United States of America,38.215 ,-122.312 ,nc72282711,2014,8,24,10:20:44,6,ComCat,Strike-slip,11.1,,,,,,Y,N,,1,ComCat,200,ComCat,0,,,,14,"Jessee, unpublished",10,,,,,1,,,,,,,-,20,"Jessee, unpublished",
223,Ecuador,Ecuador,.02 ,-78.32,usb000s271,2014,8,13,19:58:00,5.1,ComCat,Strike-slip,11.9,,,5.1,mb,ComCat,Y,N,,4,"BBC, 2014",8,"BBC, 2014",2,"BBC, 2014",,,,,,,,,,,,,,,,,,,,
224,"Ludian/Wenping, China",China,27.189 ,103.409 ,usb000rzmg,2014,8,3, 08:30:13 ,6.2,"Tanyas et al., 2017",Strike-slip,12,6.3,ComCat,,,,Y,Y,"Ying-ying et al., 2015, Chong et al., 2014",731,EMDAT,3143,ComCat,,,112,"Hexun News, 2014",233,"Ying-ying et al., 2015; Zhou et al., 2016",1024,"Tian et al., 2015",,,,3.010299957,,,5.2,"Tian et al., 2015",,,15,16,"Ying-ying et al., 2015, Zhou et al., 2016",
225,"Wilberforce, New Zealand",New Zealand,-45.73,170.124 ,usc000tbve,2015,6,1,11:18:01,5.6,"Tanyas et al., 2017",Strike-slip,8.1,,,4.3,mb,ComCat,N,Y,"GNS Science, 2015",0,"Nelson Mail, 2015",0,"Nelson Mail, 2015",0,"Nelson Mail, 2015",,,2455,GNS Science,265,"GNS Science, 2015",,,,2.423245874,,,,,0.0014,AGU,60,-,GNS Science ,
226,Colombia,Columbia,6.776 ,-72.99,us10001idx,2015,3,10,20:55:44,6.2,ComCat,Strike-slip,155,,ComCat,,,,Y,N,,0,ComCat,,,0,,,,,,,,,,,,,,,,,,,,,
227,Malaysia,Malaysia,5.980 ,116.525 ,us20002m5s,2015,6,5,23:15:43,6,ComCat,Normal,10,5.7,ComCat,,,,Y,N,,24,EMDAT,11,ComCat,18,"Yusoff et. al., 2015",,,,,,,,,,,,,,,,,,,,
